Ticker,Prix,High52W,Low52W,Median52W,ZoneHigh,ZoneLow,PctRange,DistMedian_%,MM30_Daily,Dist_MM30_%,MM30DailySlope_%,Vol14j_%,ATR14j_$,MM30W_3W_Haussier,Phase2_Daily,Breakout,In_Zone,Strat1_Zone,Strat2_Pullback,Strat3_Precoce,Setup,Prix_Alert_Pullback_m3,Prix_Alert_Pullback_p3,PRU_$,Qte_Total,Qte_par_Tier,T1_Prix_$,T1_Gain_$,T2_Prix_$,T2_Gain_$,Signal_Secu_$,SL_Secu_$,T3_Trailing_$,SL_Initial_$,Perte_Max_$,Gain_Secu_$,RR_Ratio
ABG,212.42,263.38,172.01,217.69,244.91,190.48,44.2,-2.4,219.12,-3.1,0.68,6.36,5.94,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,212.55,225.7,,,,,,,,,,,,,,
ABI,24.81,24.82,23.6,24.21,27.23,21.18,98.8,2.5,24.73,0.3,0.21,0.22,0.01,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,23.99,25.47,24.81,30.2297,10.0766,37.21,125.0,50.86,262.5,29.77,26.79,23.32,23.32,45.0,387.5,8.61
ABM,46.96,49.8,36.44,43.12,48.51,37.73,78.7,8.9,47.8,-1.8,2.18,2.34,0.89,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,46.37,49.24,,,,,,,,,,,,,,
ABNB,190.54,193.45,110.81,152.13,171.15,133.12,96.5,25.3,162.22,17.5,8.43,18.24,7.23,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,157.35,167.08,,,,,,,,,,,,,,
ABT,116.73,134.38,81.39,107.89,121.37,94.4,66.7,8.2,106.16,10.0,6.58,3.63,2.3,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,102.97,109.34,116.73,6.4251,2.1417,175.1,125.0,239.3,262.5,140.08,126.07,109.73,109.73,45.0,387.5,8.61
ACA,145.29,146.87,88.87,117.87,132.61,103.14,97.3,23.3,145.07,0.1,0.05,0.77,0.45,OUI,OUI,OUI,NON,NON,OUI,NON,🟢 STRAT2: Pullback MM30,140.72,149.43,145.29,5.1621,1.7207,217.94,125.0,297.84,262.5,174.35,156.91,136.57,136.57,45.0,387.5,8.61
ACAD,29.62,30.96,19.69,25.32,28.49,22.16,88.1,17.0,27.32,8.4,4.5,10.1,1.0,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,26.5,28.14,,,,,,,,,,,,,,
ACGL,101.06,107.09,82.45,94.77,106.62,82.92,75.5,6.6,100.19,0.9,-0.7,3.03,1.76,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,97.18,103.19,,,,,,,,,,,,,,
ACHC,28.42,35.83,11.43,23.63,26.58,20.68,69.6,20.2,31.2,-8.9,-1.63,12.91,1.5,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,30.27,32.14,,,,,,,,,,,,,,
ACHR,6.11,14.62,4.3,9.46,10.64,8.28,17.5,-35.5,5.49,11.3,10.58,23.53,0.54,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,5.32,5.65,,,,,,,,,,,,,,
ACI,12.64,19.18,10.86,15.02,16.9,13.14,21.4,-15.8,12.56,0.6,-4.18,6.78,0.37,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,12.18,12.94,,,,,,,,,,,,,,
ACLS,124.03,193.78,73.6,133.69,150.4,116.98,42.0,-7.2,134.37,-7.7,-4.17,13.31,7.46,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,130.34,138.4,,,,,,,,,,,,,,
ACM,65.08,134.01,60.35,97.18,109.33,85.03,6.4,-33.0,68.99,-5.7,-2.12,14.8,2.84,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,66.92,71.06,,,,,,,,,,,,,,
ACN,185.72,285.21,116.75,200.98,226.1,175.86,40.9,-7.6,163.93,13.3,10.27,8.38,7.53,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,159.02,168.85,,,,,,,,,,,,,,
ACVA,7.53,12.21,4.07,8.14,9.15,7.12,42.5,-7.5,7.67,-1.9,2.45,14.09,0.56,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,7.44,7.9,,,,,,,,,,,,,,
AD,35.47,46.04,28.86,37.45,42.13,32.77,38.5,-5.3,35.05,1.2,0.06,3.74,0.86,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,33.99,36.1,,,,,,,,,,,,,,
ADBE,276.56,370.86,190.12,280.49,315.55,245.43,47.8,-1.4,250.71,10.3,6.99,9.91,10.05,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,243.19,258.23,,,,,,,,,,,,,,
ADI,370.09,445.91,221.38,333.65,375.35,291.94,66.2,10.9,377.46,-2.0,-0.79,6.06,11.65,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,366.13,388.78,,,,,,,,,,,,,,
ADM,78.07,87.9,54.0,70.95,79.82,62.08,71.0,10.0,81.12,-3.8,0.94,7.61,2.57,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,78.69,83.55,,,,,,,,,,,,,,
ADMA,9.64,20.46,7.21,13.83,15.56,12.1,18.3,-30.4,9.13,5.5,2.85,13.0,0.4,NON,OUI,NON,NON,NON,NON,NON,🔴 Rejet,8.86,9.4,,,,,,,,,,,,,,
ADNT,18.83,27.32,17.68,22.5,25.31,19.69,12.0,-16.3,20.08,-6.2,1.09,15.29,1.03,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,19.48,20.69,,,,,,,,,,,,,,
ADP,282.43,300.55,186.74,243.65,274.1,213.19,84.1,15.9,264.66,6.7,4.71,5.55,6.23,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,256.72,272.6,282.43,2.6555,0.8852,423.64,125.0,578.98,262.5,338.92,305.02,265.48,265.48,45.0,387.5,8.61
ADSK,254.8,329.09,185.5,257.29,289.46,225.13,48.3,-1.0,234.84,8.5,6.95,8.04,9.06,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,227.79,241.88,,,,,,,,,,,,,,
ADT,7.45,8.73,6.15,7.44,8.37,6.51,50.7,0.2,7.31,2.0,3.12,6.4,0.17,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,7.09,7.53,,,,,,,,,,,,,,
ADUS,121.1,124.44,87.95,106.19,119.47,92.92,90.8,14.0,116.16,4.3,3.98,5.34,3.1,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,112.67,119.64,,,,,,,,,,,,,,
AEE,107.18,118.32,95.25,106.78,120.13,93.44,51.7,0.4,109.98,-2.5,-1.42,3.69,1.87,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,106.68,113.28,,,,,,,,,,,,,,
AEIS,276.47,397.32,143.93,270.62,304.45,236.8,52.3,2.2,304.9,-9.3,-0.65,15.18,18.46,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,295.75,314.04,,,,,,,,,,,,,,
AEO,16.84,27.93,11.79,19.86,22.34,17.38,31.3,-15.2,17.17,-1.9,-0.28,11.11,0.65,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,16.65,17.68,,,,,,,,,,,,,,
AEP,122.12,139.52,102.52,121.02,136.15,105.89,53.0,0.9,127.82,-4.5,-2.67,4.86,2.53,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,123.99,131.66,,,,,,,,,,,,,,
AER,147.95,158.38,117.78,138.08,155.34,120.82,74.3,7.1,149.99,-1.4,0.17,4.3,3.22,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,145.49,154.49,,,,,,,,,,,,,,
AES,14.75,17.23,11.75,14.49,16.3,12.68,54.8,1.8,14.69,0.4,0.57,0.72,0.05,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,14.25,15.13,14.75,50.8475,16.9492,22.12,125.0,30.24,262.5,17.7,15.93,13.86,13.86,45.0,387.5,8.61
AFG,144.52,148.71,121.7,135.2,152.1,118.3,84.5,6.9,143.29,0.9,0.96,5.15,2.82,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,138.99,147.58,144.52,5.1896,1.7299,216.78,125.0,296.27,262.5,173.42,156.08,135.85,135.85,45.0,387.5,8.61
AFL,118.09,129.57,102.52,116.04,130.55,101.54,57.6,1.8,122.67,-3.7,-0.3,5.2,2.11,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,118.99,126.35,,,,,,,,,,,,,,
AFRM,76.84,100.0,42.1,71.05,79.93,62.17,60.0,8.2,75.62,1.6,-3.01,12.39,3.41,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,73.35,77.88,,,,,,,,,,,,,,
AGI,38.16,55.3,27.05,41.17,46.32,36.03,39.3,-7.3,31.34,21.8,5.15,13.6,1.52,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,30.4,32.28,,,,,,,,,,,,,,
AGL,92.75,133.04,7.48,70.26,79.04,61.48,67.9,32.0,101.5,-8.6,-5.93,31.41,9.62,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,98.45,104.54,,,,,,,,,,,,,,
AGNC,10.98,11.32,8.43,9.88,11.11,8.64,88.1,11.2,10.83,1.4,0.2,3.59,0.17,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,10.51,11.16,,,,,,,,,,,,,,
AGYS,114.71,145.25,61.5,103.38,116.3,90.45,63.5,11.0,108.18,6.0,1.23,10.3,4.42,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,104.93,111.42,114.71,6.5382,2.1794,172.06,125.0,235.16,262.5,137.65,123.89,107.83,107.83,45.0,387.5,8.61
AHCO,5.61,13.43,5.21,9.32,10.49,8.16,4.9,-39.8,8.31,-32.5,-15.64,17.04,0.36,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,8.06,8.56,,,,,,,,,,,,,,
AIG,77.18,86.21,70.36,78.28,88.07,68.5,43.0,-1.4,78.16,-1.3,-0.95,3.58,1.37,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,75.82,80.51,,,,,,,,,,,,,,
AIN,57.91,77.0,40.54,58.77,66.11,51.42,47.6,-1.5,68.35,-15.3,-5.34,7.99,2.35,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,66.3,70.4,,,,,,,,,,,,,,
AIR,132.54,154.0,72.0,113.0,127.12,98.88,73.8,17.3,139.67,-5.1,0.95,12.08,6.13,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,135.48,143.86,,,,,,,,,,,,,,
AIT,338.45,374.27,236.75,305.51,343.69,267.32,74.0,10.8,346.21,-2.2,2.26,4.23,8.1,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,335.82,356.59,,,,,,,,,,,,,,
AIZ,287.38,303.94,202.7,253.32,284.98,221.65,83.6,13.4,281.27,2.2,0.63,8.63,7.89,OUI,OUI,OUI,NON,NON,OUI,OUI,🟢 STRAT2: Pullback MM30,272.83,289.71,287.38,2.6098,0.8699,431.07,125.0,589.13,262.5,344.86,310.37,270.14,270.14,45.0,387.5,8.61
AJG,269.72,310.73,190.12,250.42,281.73,219.12,66.0,7.7,253.3,6.5,1.1,5.39,7.24,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,245.7,260.9,269.72,2.7807,0.9269,404.58,125.0,552.93,262.5,323.66,291.3,253.54,253.54,45.0,387.5,8.61
AKAM,106.15,165.45,70.82,118.13,132.9,103.37,37.3,-10.1,117.63,-9.8,-0.71,14.04,6.17,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,114.1,121.16,,,,,,,,,,,,,,
ALAB,278.13,499.48,97.89,298.68,336.02,261.35,44.9,-6.9,311.43,-10.7,-10.84,15.06,25.26,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,302.09,320.78,,,,,,,,,,,,,,
ALB,141.43,220.44,70.3,145.37,163.54,127.2,47.4,-2.7,124.96,13.2,0.95,10.94,5.67,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,121.21,128.7,,,,,,,,,,,,,,
ALC,73.76,87.21,61.83,74.52,83.84,65.21,47.0,-1.0,70.83,4.1,2.93,6.82,1.75,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,68.7,72.95,,,,,,,,,,,,,,
ALG,165.88,223.01,145.46,184.23,207.26,161.2,26.3,-10.0,163.9,1.2,-0.23,5.31,4.38,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,158.98,168.82,,,,,,,,,,,,,,
ALGM,35.56,71.77,22.41,47.09,52.98,41.2,26.7,-24.5,43.81,-18.8,-11.57,13.76,2.48,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,42.5,45.13,,,,,,,,,,,,,,
ALGN,159.71,200.44,122.0,161.22,181.37,141.07,48.1,-0.9,172.3,-7.3,-2.02,9.73,6.23,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,167.13,177.47,,,,,,,,,,,,,,
ALGT,82.49,123.63,56.64,90.13,101.4,78.87,38.6,-8.5,94.36,-12.6,-9.8,13.29,5.02,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,91.53,97.19,,,,,,,,,,,,,,
ALIT,14.87,81.46,9.58,45.52,51.21,39.83,7.4,-67.3,17.11,-13.1,-4.8,23.96,1.18,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,16.6,17.63,,,,,,,,,,,,,,
ALK,41.73,65.88,33.03,49.45,55.64,43.27,26.5,-15.6,46.44,-10.1,-4.17,9.3,1.79,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,45.05,47.83,,,,,,,,,,,,,,
ALKS,48.85,55.67,25.17,40.42,45.47,35.37,77.6,20.9,50.34,-3.0,-2.63,6.77,1.63,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,48.83,51.85,,,,,,,,,,,,,,
ALL,259.11,277.22,185.28,231.25,260.16,202.34,80.3,12.0,259.3,-0.1,1.38,7.67,6.74,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,251.52,267.08,,,,,,,,,,,,,,
ALLE,162.65,181.67,124.49,153.08,172.21,133.94,66.7,6.3,156.67,3.8,5.71,4.9,3.75,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,151.97,161.37,,,,,,,,,,,,,,
ALLY,42.67,46.96,35.43,41.2,46.35,36.05,62.7,3.6,44.02,-3.1,-1.3,4.54,0.82,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,42.7,45.34,,,,,,,,,,,,,,
ALNY,235.46,495.55,197.81,346.68,390.01,303.34,12.6,-32.1,244.84,-3.8,-9.48,12.26,9.89,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,237.49,252.18,,,,,,,,,,,,,,
ALRM,57.83,59.53,41.49,50.51,56.82,44.2,90.6,14.5,54.81,5.5,4.13,5.39,1.43,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,53.17,56.46,,,,,,,,,,,,,,
ALSN,131.78,136.97,75.21,106.09,119.35,92.83,91.6,24.2,120.5,9.4,3.46,8.95,3.98,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,116.89,124.12,,,,,,,,,,,,,,
ALV,122.47,132.17,98.41,115.29,129.7,100.88,71.3,6.2,121.6,0.7,1.11,5.79,2.39,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,117.95,125.25,122.47,6.1239,2.0413,183.7,125.0,251.06,262.5,146.96,132.27,115.12,115.12,45.0,387.5,8.61
AM,22.06,23.35,16.41,19.88,22.36,17.39,81.4,10.9,22.1,-0.2,-0.04,6.62,0.54,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,21.43,22.76,,,,,,,,,,,,,,
AMAT,485.7,738.88,153.62,446.25,502.03,390.47,56.7,8.8,525.21,-7.5,-6.07,11.61,26.19,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,509.45,540.96,,,,,,,,,,,,,,
AMBA,70.5,96.69,48.3,72.5,81.56,63.43,45.9,-2.8,75.08,-6.1,0.07,10.85,3.94,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,72.83,77.33,,,,,,,,,,,,,,
AMCR,47.77,49.46,35.66,42.56,47.88,37.24,87.8,12.3,45.74,4.4,2.63,5.96,1.19,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,44.37,47.11,47.77,15.7002,5.2334,71.66,125.0,97.93,262.5,57.32,51.59,44.9,44.9,45.0,387.5,8.61
AMD,457.88,584.73,149.22,366.97,412.85,321.1,70.9,24.8,493.87,-7.3,-3.84,12.48,21.73,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,479.05,508.69,,,,,,,,,,,,,,
AME,240.89,261.16,178.41,219.78,247.26,192.31,75.5,9.6,244.66,-1.5,1.97,4.38,4.94,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,237.32,252.0,,,,,,,,,,,,,,
AMG,359.88,392.91,218.19,305.55,343.74,267.36,81.1,17.8,364.83,-1.4,0.88,5.32,10.71,OUI,NON,OUI,NON,NON,NON,NON,🔴 Rejet,353.88,375.77,,,,,,,,,,,,,,
AMGN,443.51,443.87,262.49,353.18,397.33,309.03,99.8,25.6,394.6,12.4,5.53,6.66,11.47,OUI,OUI,OUI,NON,NON,NON,NON,🟡 Chasing - attendre pullback,382.76,406.44,,,,,,,,,,,,,,
AMH,34.77,35.07,26.95,31.01,34.89,27.13,96.3,12.1,33.94,2.5,0.47,3.54,0.54,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,32.92,34.96,34.77,21.5703,7.1901,52.16,125.0,71.28,262.5,41.72,37.55,32.68,32.68,45.0,387.5,8.61
AMKR,48.15,96.68,23.02,59.85,67.33,52.37,34.1,-19.6,56.78,-15.2,-9.85,16.52,3.45,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,55.08,58.48,,,,,,,,,,,,,,
AMN,34.1,37.22,14.97,26.1,29.36,22.83,86.0,30.7,33.94,0.5,1.05,22.49,1.96,OUI,OUI,OUI,NON,NON,OUI,NON,🟢 STRAT2: Pullback MM30,32.92,34.95,34.1,21.9941,7.3314,51.15,125.0,69.9,262.5,40.92,36.83,32.05,32.05,45.0,387.5,8.61
AMP,560.52,572.56,419.52,496.04,558.05,434.04,92.1,13.0,546.01,2.7,4.63,4.31,10.71,OUI,OUI,OUI,NON,NON,OUI,NON,🟢 STRAT2: Pullback MM30,529.63,562.39,560.52,1.338,0.446,840.78,125.0,1149.07,262.5,672.62,605.36,526.89,526.89,45.0,387.5,8.61
AMPX,9.87,24.23,6.66,15.44,17.37,13.51,18.3,-36.1,10.63,-7.2,-3.66,18.25,0.86,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,10.31,10.95,,,,,,,,,,,,,,
AMR,213.42,253.82,133.64,193.73,217.95,169.51,66.4,10.2,156.44,36.4,5.23,16.47,10.13,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,151.74,161.13,,,,,,,,,,,,,,
AMRC,20.94,44.93,18.38,31.65,35.61,27.7,9.6,-33.8,23.92,-12.5,-0.72,19.64,1.71,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,23.2,24.64,,,,,,,,,,,,,,
AMRZ,45.11,65.13,44.3,54.72,61.56,47.88,3.9,-17.6,48.33,-6.7,-3.86,11.26,1.55,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,46.88,49.78,,,,,,,,,,,,,,
AMS,1.46,3.11,1.25,2.18,2.45,1.91,11.3,-33.0,1.49,-2.2,0.13,10.52,0.07,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,1.45,1.54,,,,,,,,,,,,,,
AMT,178.16,206.8,160.06,183.43,206.36,160.5,38.7,-2.9,171.24,4.0,1.55,6.39,4.34,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,166.1,176.38,178.16,4.2097,1.4032,267.24,125.0,365.23,262.5,213.79,192.41,167.47,167.47,45.0,387.5,8.61
AMX,23.74,28.12,19.15,23.64,26.59,20.68,51.1,0.4,24.75,-4.1,-2.93,4.78,0.48,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,24.01,25.49,,,,,,,,,,,,,,
AMZN,261.82,287.2,196.0,241.6,271.8,211.4,72.2,8.4,256.57,2.0,2.64,5.26,6.14,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,248.87,264.27,261.82,2.8646,0.9549,392.73,125.0,536.73,262.5,314.18,282.77,246.11,246.11,45.0,387.5,8.61
AN,197.27,235.81,176.62,206.21,231.99,180.44,34.9,-4.3,207.64,-5.0,2.25,5.2,5.58,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,201.42,213.87,,,,,,,,,,,,,,
ANDE,65.6,81.87,37.15,59.51,66.95,52.07,63.6,10.2,71.27,-8.0,-1.33,10.4,2.72,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,69.13,73.41,,,,,,,,,,,,,,
ANDR,0.0,0.0,0.0,0.0,0.0,0.0,31.0,-35.5,0.0,0.0,0.0,0.0,0.0,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,0.0,0.0,,,,,,,,,,,,,,
ANET,187.94,214.89,114.52,164.7,185.29,144.12,73.1,14.1,183.62,2.4,4.13,12.06,9.29,OUI,OUI,OUI,NON,NON,OUI,OUI,🟢 STRAT2: Pullback MM30,178.11,189.13,187.94,3.9906,1.3302,281.91,125.0,385.28,262.5,225.53,202.98,176.66,176.66,45.0,387.5,8.61
ANF,111.43,133.11,65.45,99.28,111.69,86.87,68.0,12.2,103.71,7.4,6.25,10.37,4.84,OUI,OUI,NON,OUI,OUI,NON,OUI,🟢 STRAT1: Zone mediane,100.6,106.82,111.43,6.7307,2.2436,167.14,125.0,228.43,262.5,133.72,120.34,104.74,104.74,45.0,387.5,8.61
AOF,0.8,1.0,0.55,0.78,0.87,0.68,55.6,3.2,0.8,0.0,0.0,0.0,0.0,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,0.78,0.82,,,,,,,,,,,,,,
AON,358.59,381.47,303.1,342.28,385.07,299.5,70.8,4.8,358.65,-0.0,0.18,4.28,7.24,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,347.89,369.41,,,,,,,,,,,,,,
AOS,62.35,80.92,53.83,67.38,75.8,58.95,31.4,-7.5,61.43,1.5,0.93,7.22,1.48,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,59.59,63.28,,,,,,,,,,,,,,
APD,304.52,314.87,224.64,269.75,303.47,236.03,88.5,12.9,299.41,1.7,0.62,4.78,6.14,OUI,OUI,OUI,NON,NON,OUI,NON,🟢 STRAT2: Pullback MM30,290.43,308.39,304.52,2.4629,0.821,456.78,125.0,624.27,262.5,365.42,328.88,286.25,286.25,45.0,387.5,8.61
APG,40.72,49.99,33.4,41.7,46.91,36.48,44.2,-2.3,41.1,-0.9,0.87,6.49,1.05,NON,NON,NON,OUI,NON,NON,NON,🔴 Rejet,39.87,42.33,,,,,,,,,,,,,,
APH,155.66,178.52,104.74,141.63,159.33,123.92,69.0,9.9,159.88,-2.6,-0.38,8.72,5.77,OUI,NON,NON,OUI,NON,NON,NON,🔴 Rejet,155.08,164.67,,,,,,,,,,,,,,
APLD,27.01,50.72,13.16,31.94,35.94,27.95,36.9,-15.4,28.59,-5.5,-4.26,13.02,2.03,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,27.73,29.44,,,,,,,,,,,,,,
APO,132.64,151.39,98.72,125.06,140.69,109.42,64.4,6.1,127.46,4.1,4.75,10.91,4.71,NON,OUI,NON,OUI,NON,NON,NON,🔴 Rejet,123.64,131.29,,,,,,,,,,,,,,
APP,300.4,745.61,297.5,521.55,586.75,456.36,0.6,-42.4,373.61,-19.6,-15.62,21.06,19.03,NON,NON,NON,NON,NON,NON,NON,🔴 Rejet,362.4,384.81,,,,,,,,,,,,,,
APPF,225.89,288.73,142.56,215.65,242.6,188.69,57.0,4.7,190.28,18.7,7.07,10.58,8.95,OUI,OUI,NON,OUI,OUI,NON,NON,🟢 STRAT1: Zone mediane,184.57,195.98,225.89,3.3202,1.1067,338.84,125.0,463.07,262.5,271.07,243.96,212.34,212.34,45.0,387.5,8.61
APPN,39.36,46.06,18.63,32.34,36.39,28.3,75.6,21.7,30.36,29.6,15.62,16.61,2.32,OUI,OUI,OUI,NON,NON,NON,OUI,🟢 STRAT3: Phase 2 precoce,29.45,31.28,39.36,19.0549,6.3516,59.04,125.0,80.69,262.5,47.23,42.51,37.0,37.0,45.0,387.5,8.61
